workingday_,hr_,cnt_sum,cnt_mean,cnt_median,cnt_min,cnt_max
0,0,20884,90.8,93.5,6,249
0,1,15987,69.50869565217391,71.0,4,168
0,2,12123,53.171052631578945,54.0,2,132
0,3,5851,25.77533039647577,25.0,2,79
0,4,1876,8.26431718061674,7.0,1,28
0,5,1929,8.68918918918919,7.0,1,55
0,6,4292,18.74235807860262,16.0,1,133
0,7,10027,43.40692640692641,39.0,1,387
0,8,24406,105.65367965367966,94.0,5,597
0,9,39645,171.62337662337663,170.0,14,397
0,10,59115,255.9090909090909,260.0,12,539
0,11,72838,315.31601731601734,317.0,27,663
0,12,84606,366.2597402597403,367.0,32,776
0,13,86101,372.73160173160176,367.0,30,760
0,14,84233,364.64502164502164,361.0,23,750
0,15,82886,358.8138528138528,361.0,7,750
0,16,81480,352.72727272727275,356.0,11,783
0,17,74740,323.54978354978357,322.0,15,731
0,18,64643,281.05652173913046,276.5,23,676
0,19,53285,231.67391304347825,232.0,11,554
0,20,40190,174.7391304347826,176.0,11,551
0,21,32674,142.0608695652174,136.5,7,584
0,22,26694,116.06086956521739,106.5,9,502
0,23,19764,85.9304347826087,72.5,2,239
1,0,18246,36.78629032258065,33.0,2,283
1,1,8177,16.55263157894737,14.0,1,114
1,2,4229,8.683778234086242,7.0,1,74
1,3,2323,4.9425531914893615,4.0,1,36
1,4,2552,5.4297872340425535,5.0,1,17
1,5,12332,24.913131313131313,25.0,1,66
1,6,50840,102.5,104.0,7,213
1,7,144144,290.61290322580646,295.0,18,596
1,8,236595,477.00604838709677,463.0,31,839
1,9,119793,241.51814516129033,228.0,23,426
1,10,67142,135.36693548387098,133.0,8,275
1,11,78482,158.2298387096774,157.0,10,361
1,12,99808,200.8209255533199,201.0,3,471
1,13,98818,198.429718875502,198.0,11,428
1,14,91419,183.5722891566265,179.0,12,651
1,15,100263,201.33132530120483,194.0,13,601
1,16,146268,293.12224448897797,292.0,13,634
1,17,262120,525.2905811623247,539.0,26,976
1,18,245129,492.2269076305221,504.5,26,977
1,19,173504,348.4016064257028,349.5,18,743
1,20,124360,249.71887550200802,248.0,23,567
1,21,92771,186.2871485943775,190.0,6,398
1,22,68918,138.38955823293173,137.0,11,321
1,23,44177,88.70883534136546,81.0,9,256
