yr_,mnth_,cnt_sum,cnt_mean,cnt_median,cnt_min,cnt_max
0,1,38189,1231.9032258064517,1248.0,431,1985
0,2,48215,1721.9642857142858,1629.0,1005,2927
0,3,64045,2065.967741935484,2077.0,605,3239
0,4,94870,3162.3333333333335,3226.5,795,5312
0,5,135821,4381.322580645161,4451.0,2633,5805
0,6,143512,4783.733333333334,4839.5,3767,5515
0,7,141341,4559.387096774193,4541.0,3285,6043
0,8,136691,4409.387096774193,4602.0,1115,5895
0,9,127418,4247.266666666666,4584.5,1842,5423
0,10,123511,3984.2258064516127,4304.0,627,5511
0,11,102167,3405.5666666666666,3631.0,1495,4486
0,12,87323,2816.8709677419356,3068.0,705,3940
1,1,96744,3120.7741935483873,3243.0,1301,4521
1,2,103137,3556.448275862069,3777.0,1529,5062
1,3,164875,5318.548387096775,5382.0,3194,8362
1,4,174224,5807.466666666666,6214.5,1027,7460
1,5,195865,6318.225806451613,6421.0,2843,8294
1,6,202830,6761.0,6988.0,4127,8120
1,7,203607,6567.967741935484,6685.0,4459,8173
1,8,214503,6919.451612903225,7148.0,4549,7865
1,9,218573,7285.766666666666,7514.5,4073,8714
1,10,198841,6414.225806451613,7282.0,22,8156
1,11,152664,5088.8,5319.0,2277,6852
1,12,123713,3990.7419354838707,4649.0,441,6606
